stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:PCZI2,"Pont de Chézine",,47.23809138,-1.61440756,,,0,StopArea:PCZI
StopPoint:PDAN1,"Pas d'Ane",,47.18134408,-1.47036284,,,0,StopArea:PDAN
StopPoint:PDAN2,"Pas d'Ane",,47.18203496,-1.46989679,,,0,StopArea:PDAN
StopPoint:PDCE1,"Pont du Cens",,47.24857231,-1.57725947,,,0,StopArea:PDCE
StopPoint:PDCE3,"Pont du Cens",,47.24885620,-1.57712153,,,0,StopArea:PDCE
StopPoint:PDJO1,"Point du jour",,47.26555208,-1.58144017,,,0,StopArea:PDJO
StopPoint:PDJO2,"Point du jour",,47.26537914,-1.58149365,,,0,StopArea:PDJO
StopPoint:PDOU1,"Porte Douillard",,47.28974673,-1.51931914,,,0,StopArea:PDOU
StopPoint:PDOU2,"Porte Douillard",,47.28954241,-1.51869550,,,0,StopArea:PDOU
StopPoint:PDRE1,"Pont de Retz",,47.21375641,-1.70628180,,,0,StopArea:PDRE
StopPoint:PDRE2,"Pont de Retz",,47.21376031,-1.70642751,,,0,StopArea:PDRE
StopPoint:PDUC1,"Prairie au duc",,47.20425047,-1.56503080,,,0,StopArea:PDUC
StopPoint:PDUC2,"Prairie au duc",,47.20425482,-1.56437031,,,0,StopArea:PDUC
StopPoint:PEDR1,"Perdriaux",,47.16139192,-1.48595236,,,0,StopArea:PEDR
StopPoint:PEDR2,"Perdriaux",,47.16124835,-1.48566481,,,0,StopArea:PEDR
StopPoint:PEGE1,"Pégers",,47.13756984,-1.47155550,,,0,StopArea:PEGE
StopPoint:PELO1,"Pelousière",,47.20773226,-1.64700708,,,0,StopArea:PELO
StopPoint:PELO2,"Pelousière",,47.20773272,-1.64699390,,,0,StopArea:PELO
StopPoint:PEON1,"Perron",,47.22489540,-1.60179790,,,0,StopArea:PEON
StopPoint:PEON2,"Perron",,47.22436856,-1.60087328,,,0,StopArea:PEON
StopPoint:PERR1,"Perray",,47.24750849,-1.51415690,,,0,StopArea:PERR
StopPoint:PERR2,"Perray",,47.24753827,-1.51299513,,,0,StopArea:PERR
StopPoint:PETR1,"Pétrels",,47.25453278,-1.50742711,,,0,StopArea:PETR
StopPoint:PETR2,"Pétrels",,47.25431193,-1.50702762,,,0,StopArea:PETR
StopPoint:PFNA1,"Purfina",,47.19459297,-1.63494228,,,0,StopArea:PFNA
StopPoint:PFNA2,"Purfina",,47.19454144,-1.63460810,,,0,StopArea:PFNA
StopPoint:PGRI1,"Pagerie",,47.17854748,-1.65068768,,,0,StopArea:PGRI
StopPoint:PGRI2,"Pagerie",,47.17868628,-1.65318159,,,0,StopArea:PGRI
StopPoint:PGTI1,"Plinguetière",,47.13295828,-1.61369041,,,0,StopArea:PGTI
StopPoint:PGTI2,"Plinguetière",,47.13380926,-1.61304039,,,0,StopArea:PGTI
StopPoint:PGUY1,"Péguy",,47.22151713,-1.61392375,,,0,StopArea:PGUY
StopPoint:PGUY2,"Péguy",,47.22163263,-1.61370753,,,0,StopArea:PGUY
StopPoint:PHTR1,"Parc Chantrerie",,47.28675200,-1.52107519,,,0,StopArea:PHTR
StopPoint:PHTR2,"Parc Chantrerie",,47.28616387,-1.52088713,,,0,StopArea:PHTR
StopPoint:PHVE1,"Pré Hervé",,47.24408915,-1.51783863,,,0,StopArea:PHVE
StopPoint:PHVE2,"Pré Hervé",,47.24368379,-1.51757136,,,0,StopArea:PHVE
StopPoint:PIAO1,"Piano'cktail",,47.17417243,-1.61061537,,,0,StopArea:PIAO
StopPoint:PIAO2,"Piano'cktail",,47.17479482,-1.60664566,,,0,StopArea:PIAO
StopPoint:PIBL1,"Pierre Blanche",,47.17215741,-1.62732101,,,0,StopArea:PIBL
StopPoint:PIBL2,"Pierre Blanche",,47.17206086,-1.62724781,,,0,StopArea:PIBL
StopPoint:PICA1,"Picasso",,47.21506015,-1.53694963,,,0,StopArea:PICA
StopPoint:PICA2,"Picasso",,47.21543614,-1.53594580,,,0,StopArea:PICA
StopPoint:PIEA1,"Pierre Abélard",,47.15508427,-1.68458074,,,0,StopArea:PIEA
StopPoint:PIEA2,"Pierre Abélard",,47.15475257,-1.68479352,,,0,StopArea:PIEA
StopPoint:PIPA1,"Pipay",,47.22576909,-1.53694507,,,0,StopArea:PIPA
StopPoint:PIPA2,"Pipay",,47.22555769,-1.53733962,,,0,StopArea:PIPA
StopPoint:PIR58,"Pirmil",,47.19608163,-1.54261905,,,0,StopArea:PIRM
StopPoint:PIR59,"Pirmil",,47.19630858,-1.54283370,,,0,StopArea:PIRM
StopPoint:PIRA1,"Pirmil",,47.19661196,-1.54211571,,,0,StopArea:PIRM
StopPoint:PIRB2,"Pirmil",,47.19617882,-1.54278201,,,0,StopArea:PIRM
StopPoint:PIRC1,"Pirmil",,47.19615365,-1.54275376,,,0,StopArea:PIRM
StopPoint:PIRD1,"Pirmil",,47.19610948,-1.54259464,,,0,StopArea:PIRM
StopPoint:PIRD2,"Pirmil",,47.19591868,-1.54291115,,,0,StopArea:PIRM
StopPoint:PIRF1,"Pirmil",,47.19675471,-1.54295854,,,0,StopArea:PIRM
StopPoint:PISE1,"Pin Sec",,47.24355440,-1.51804740,,,0,StopArea:PISE
StopPoint:PISE2,"Pin Sec",,47.24354314,-1.51808759,,,0,StopArea:PISE
StopPoint:PISE3,"Pin Sec",,47.24330636,-1.51889314,,,0,StopArea:PISE
StopPoint:PISE4,"Pin Sec",,47.24326938,-1.51865241,,,0,StopArea:PISE
StopPoint:PJOU1,"Point du jour",,47.26497376,-1.44357427,,,0,StopArea:PJOU
StopPoint:PJOU2,"Point du jour",,47.26493652,-1.44361133,,,0,StopArea:PJOU
StopPoint:PLAC1,"Placis",,47.19952609,-1.51996778,,,0,StopArea:PLAC
StopPoint:PLAC2,"Placis",,47.19961064,-1.52013244,,,0,StopArea:PLAC
StopPoint:PLBL1,"Port la Blanche",,47.27161450,-1.51670093,,,0,StopArea:PLBL
StopPoint:PLBL2,"Port la Blanche",,47.27192968,-1.51643254,,,0,StopArea:PLBL
StopPoint:PLCL1,"Polyclinique",,47.22795400,-1.61164893,,,0,StopArea:PLCL
StopPoint:PLCL2,"Polyclinique",,47.22800700,-1.61167929,,,0,StopArea:PLCL
StopPoint:PLCL3,"Polyclinique",,47.22675979,-1.61259210,,,0,StopArea:PLCL
StopPoint:PLCL4,"Polyclinique",,47.22684557,-1.61271743,,,0,StopArea:PLCL
StopPoint:PLES1,"Plessis",,47.30097834,-1.55231573,,,0,StopArea:PLES
StopPoint:PLES2,"Plessis",,47.30095814,-1.55238046,,,0,StopArea:PLES
StopPoint:PLGU1,"Pouliguen",,47.23946028,-1.54306791,,,0,StopArea:PLGU
StopPoint:PLGU2,"Pouliguen",,47.24028832,-1.54228160,,,0,StopArea:PLGU
StopPoint:PLNA1,"Port launay",,47.20971396,-1.74633331,,,0,StopArea:PLNA
StopPoint:PLNA2,"Port launay",,47.20972086,-1.74588439,,,0,StopArea:PLNA
StopPoint:PLOR1,"Ploreau",,47.30313931,-1.55179781,,,0,StopArea:PLOR
StopPoint:PLOR2,"Ploreau",,47.30302705,-1.55192204,,,0,StopArea:PLOR
StopPoint:PLPC1,"Place des Pêcheurs",,47.13644248,-1.66871410,,,0,StopArea:PLPC
StopPoint:PLPC2,"Place des Pêcheurs",,47.13645889,-1.66901893,,,0,StopArea:PLPC
StopPoint:PLSS1,"Plessis",,47.26042715,-1.66019563,,,0,StopArea:PLSS
StopPoint:PLSS2,"Plessis",,47.26034234,-1.66004375,,,0,StopArea:PLSS
StopPoint:PLTI1,"Platière",,47.19463206,-1.55888560,,,0,StopArea:PLTI
StopPoint:PLTI2,"Platière",,47.19455084,-1.56102030,,,0,StopArea:PLTI
StopPoint:PMAR1,"Pont Marchand",,47.26066083,-1.63151575,,,0,StopArea:PMAR
StopPoint:PMAR2,"Pont Marchand",,47.26065104,-1.63127687,,,0,StopArea:PMAR
StopPoint:PMEU1,"Port aux Meules",,47.16545234,-1.49304322,,,0,StopArea:PMEU
StopPoint:PMEU2,"Port aux Meules",,47.16577822,-1.49380606,,,0,StopArea:PMEU
StopPoint:PMTR1,"Pont de la Métairie",,47.26246168,-1.44602929,,,0,StopArea:PMTR
StopPoint:PMTR2,"Pont de la Métairie",,47.26237346,-1.44624794,,,0,StopArea:PMTR
StopPoint:PMTR3,"Pont de la Métairie",,47.26249287,-1.44727506,,,0,StopArea:PMTR
StopPoint:PMTR4,"Pont de la Métairie",,47.25991846,-1.45025454,,,0,StopArea:PMTR
StopPoint:PMVE1,"Prairie de Mauves",,47.22005347,-1.51668853,,,0,StopArea:PMVE
StopPoint:PMVE2,"Prairie de Mauves",,47.22027704,-1.51646668,,,0,StopArea:PMVE
StopPoint:PNAN1,"Prière",,47.22220459,-1.59619249,,,0,StopArea:PNAN
StopPoint:PNAN2,"Prière",,47.22236358,-1.59681234,,,0,StopArea:PNAN
StopPoint:PNRZ1,"Pinier",,47.18159704,-1.54534763,,,0,StopArea:PNRZ
StopPoint:PNRZ2,"Pinier",,47.18271569,-1.54556085,,,0,StopArea:PNRZ
StopPoint:PNTI1,"Plantiveau",,47.24619716,-1.51135113,,,0,StopArea:PNTI
StopPoint:PNTI2,"Plantiveau",,47.24600848,-1.51133756,,,0,StopArea:PNTI
StopPoint:POIT1,"Poitou",,47.22427045,-1.56538179,,,0,StopArea:POIT
StopPoint:POIT2,"Poitou",,47.22423533,-1.56543475,,,0,StopArea:POIT
StopPoint:POLE1,"Poulenc",,47.25541646,-1.58126618,,,0,StopArea:POLE
StopPoint:POLE2,"Poulenc",,47.25536883,-1.58107748,,,0,StopArea:POLE
StopPoint:PONT1,"Pontereau",,47.30644199,-1.37877294,,,0,StopArea:PONT
StopPoint:PONT2,"Pontereau",,47.30643774,-1.37890504,,,0,StopArea:PONT
StopPoint:POON1,"Potiron",,47.27045679,-1.51873459,,,0,StopArea:POON
StopPoint:POON2,"Potiron",,47.27036887,-1.51893996,,,0,StopArea:POON
StopPoint:POST1,"Poste",,47.29524519,-1.55406947,,,0,StopArea:POST
StopPoint:POST2,"Poste",,47.29518861,-1.55414478,,,0,StopArea:POST
StopPoint:POTT1,"Pottier",,47.17794112,-1.62755108,,,0,StopArea:POTT
StopPoint:POTT2,"Pottier",,47.17763438,-1.62730380,,,0,StopArea:POTT
StopPoint:POYA1,"Poyaux",,47.16676819,-1.53047177,,,0,StopArea:POYA
StopPoint:POYA2,"Poyaux",,47.16661350,-1.53105489,,,0,StopArea:POYA
StopPoint:PPDO1,"Pompidou",,47.20919174,-1.52825095,,,0,StopArea:PPDO
StopPoint:PPDO2,"Pompidou",,47.20937779,-1.52753745,,,0,StopArea:PPDO
StopPoint:PPFA3,"Petit Port",,47.24296880,-1.55654797,,,0,StopArea:PPFA
StopPoint:PPFA4,"Petit Port",,47.24331718,-1.55583269,,,0,StopArea:PPFA
StopPoint:PPFA5,"Petit Port",,47.24369714,-1.55711680,,,0,StopArea:PPFA
StopPoint:PPLI1,"Peupliers",,47.19936113,-1.49738570,,,0,StopArea:PPLI
StopPoint:PPLI2,"Peupliers",,47.19960728,-1.49567225,,,0,StopArea:PPLI
StopPoint:PPOU1,"Pré Poulain",,47.27251419,-1.44459718,,,0,StopArea:PPOU
StopPoint:PPOU2,"Pré Poulain",,47.27201872,-1.44460183,,,0,StopArea:PPOU
